LAT,LON,GloElev_5min,GloSlopesCl1_5min,GloSlopesCl2_5min,GloSlopesCl3_5min,GloSlopesCl4_5min,GloSlopesCl5_5min,GloSlopesCl6_5min,GloSlopesCl7_5min,GloSlopesCl8_5min,CULTRF_2000,CULTIR_2000,CULT_2000,FOR_2000,GRS_2000,URB_2000,NVG_2000,WAT_2000,sq1,sq2,sq3,sq4,sq5,sq6,sq7
15.25,-88.75,805,13,167,604,817,1010,4659,2358,372,5.78321838378906,0.663139581680298,6.44635772705078,68.6374282836914,24.3677139282227,0.548500001430511,0,0,2,2,1,1,1,1,1
15.25,-88.25,283,30,347,1176,1290,1302,3241,1896,718,2.32146978378296,2.90152502059937,5.22299480438232,72.6554489135742,21.192756652832,0.92879992723465,0,0,2,2,1,1,1,1,1
15.75,-92.25,681,76,849,2803,3185,1359,1178,399,151,71.2012481689453,0,71.2012481689453,16.1471099853516,8.12374114990234,4.52790021896362,0,0,1,1,2,1,1,1,3
15.75,-91.75,1091,3,88,418,779,724,2382,2587,3019,10.1267766952515,0,10.1267766952515,29.6324596405029,59.3043632507324,0.93639999628067,0,0,2,2,1,1,1,1,1
15.75,-91.25,989,6,91,333,713,756,2562,2440,3099,5.96266651153564,0,5.96266651153564,37.6016616821289,55.7766723632813,0.658999979496002,0,0,1,1,3,1,1,1,3
15.75,-90.75,326,16,169,803,1801,1831,3481,1044,855,23.8817138671875,0,23.8817138671875,20.406177520752,55.1655082702637,0.546599984169006,0,0,1,1,3,1,1,1,3
15.75,-90.25,357,4,79,481,1206,1239,3111,2076,1804,27.4858150482178,0,27.4858150482178,8.29771041870117,60.7616729736328,3.45480012893677,0,0,1,1,1,1,1,1,1
15.75,-89.75,220,85,781,1646,1688,1230,2657,1426,487,17.2104301452637,0,17.2104301452637,39.2707443237305,42.5459251403809,0.972899973392487,0,0,1,1,1,1,1,1,1
15.75,-89.25,139,51,528,1876,2405,1364,2297,860,619,25.1221485137939,0,25.1221485137939,12.3290901184082,62.20166015625,0.347099989652634,0,0,1,1,1,1,1,1,1
15.75,-88.75,43,36,584,1548,1439,676,753,173,35,0.299824297428131,0,0.299824297428131,70.4036407470703,28.7257347106934,0.570800006389618,0,0,1,1,1,1,1,1,1
15.75,-88.25,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.25,-92.25,1911,11,202,914,2720,2702,3071,306,74,46.2350730895996,3.45616888999939,49.6912422180176,27.4912223815918,21.6794357299805,1.13809990882874,0,0,1,1,2,1,1,1,2
16.25,-91.75,1216,7,89,420,1210,1650,4264,1538,822,55.3083763122559,0,55.3083763122559,14.8836688995361,29.5392551422119,0.268700003623962,0,0,1,1,3,1,1,1,3
16.25,-91.25,240,58,761,2565,2896,1100,1335,713,572,3.74025964736938,0,3.74025964736938,75.6045150756836,20.3835258483887,0.271699994802475,0,0,1,1,3,1,1,1,3
16.25,-90.75,159,274,2958,5174,1563,30,1,,,12.4537515640259,0,12.4537515640259,65.6201553344727,21.340892791748,0.585200011730194,0,0,1,1,1,1,1,1,1
16.25,-90.25,162,249,2966,5634,1136,15,,,,1.79772162437439,0,1.79772162437439,68.9902572631836,28.8696212768555,0.342400014400482,0,0,2,1,1,1,1,1,1
16.25,-89.75,307,30,315,954,1758,1793,3845,1155,150,4.49290895462036,0,4.49290895462036,63.1624374389648,32.2150535583496,0.129600003361702,0,0,1,1,2,1,1,1,3
16.25,-89.25,662,7,111,659,2145,2596,4057,410,15,0,0,0,73.0005416870117,26.6831588745117,0.316299974918365,0,0,1,1,1,1,1,1,1
16.25,-88.75,20,863,5029,3259,800,36,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.25,-88.25,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.75,-92.25,1471,20,271,777,1678,1789,3866,1370,229,57.550464630127,0,57.550464630127,12.6264610290527,28.1720733642578,1.65100002288818,0,0,1,1,3,1,1,1,3
16.75,-91.75,911,16,197,683,1930,1708,2931,1584,951,24.0546932220459,0,24.0546932220459,49.8098945617676,25.89231300354,0.243099987506866,0,0,1,1,3,1,1,1,3
16.75,-91.25,416,200,2272,3547,1999,941,905,131,5,4.36639261245728,0,4.36639261245728,74.8247680664063,20.4367389678955,0.372099995613098,0,0,1,1,4,1,1,1,4
16.75,-90.75,137,502,3081,3061,1572,581,881,310,12,6.87945890426636,0,6.87945890426636,57.7076454162598,35.0697975158691,0.343100011348724,0,0,1,1,3,1,1,1,3
16.75,-90.25,201,173,1545,3174,3346,1354,407,1,,10.9643421173096,0,10.9643421173096,50.7989730834961,37.7214851379395,0.515200018882751,0,0,1,1,1,2,1,1,1
16.75,-89.75,297,200,2161,4322,2703,493,121,,,29.1006603240967,0,29.1006603240967,36.7583694458008,33.341968536377,0.799000024795532,0,0,1,1,1,1,1,1,2
16.75,-89.25,362,8,232,1029,1954,1885,3818,905,169,2.99968099594116,0,2.99968099594116,65.8555908203125,31.1210289001465,0.0236999988555908,0,0,2,2,2,1,1,1,2
16.75,-88.75,608,1,41,280,918,1417,4955,1887,501,3.44934010505676,0,3.44934010505676,82.6666717529297,13.8531885147095,0.0307999979704618,0,0,3,2,1,1,1,1,1
16.75,-88.25,3,,9,27,12,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.25,-92.25,473,20,155,444,961,1324,4564,1832,700,44.7295265197754,0,44.7295265197754,29.3483390808105,25.0649337768555,0.857199966907501,0,0,1,1,4,1,1,1,4
17.25,-91.75,271,47,612,1650,2451,1798,2644,684,114,64.2496643066406,0,64.2496643066406,10.8336095809937,23.9752254486084,0.941500008106232,0,0,1,1,4,1,1,1,4
17.25,-91.25,241,38,400,1315,1806,1509,3638,1150,144,1.19905114173889,0,1.19905114173889,70.5490341186523,28.2231140136719,0.0288000013679266,0,0,1,1,3,1,1,1,3
17.25,-90.75,61,417,3466,4082,1668,276,91,,,1.19906258583069,0,1.19906258583069,69.3446197509766,29.2133178710938,0.242999985814095,0,0,1,1,3,1,1,1,3
17.25,-90.25,100,225,2021,3251,2430,1158,884,30,1,0,0,0,73.1564483642578,26.7401523590088,0.103399999439716,0,0,1,1,3,2,1,1,3
17.25,-89.75,339,54,674,1983,3236,2223,1652,147,31,0,0,0,73.1544723510742,26.7394275665283,0.106099992990494,0,0,1,1,1,1,1,1,1
17.25,-89.25,182,428,2757,3576,2248,673,318,,,0,0,0,73.232177734375,26.767822265625,0,0,0,1,1,1,1,1,1,3
17.25,-88.75,54,613,4797,4229,361,,,,,3.34619498252869,0,3.34619498252869,85.8520202636719,10.684684753418,0.11710000038147,0,0,1,1,2,1,1,1,3
17.25,-88.25,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.75,-92.25,10,1640,7104,1212,39,5,,,,87.9099655151367,0,87.9099655151367,3.33909463882446,6.52144002914429,2.22949981689453,0,0,1,1,1,3,1,1,2
17.75,-91.75,7,686,5048,3926,340,,,,,34.1168746948242,0,34.1168746948242,49.2787246704102,15.6075010299683,0.996900022029877,0,0,1,1,1,3,1,1,2
17.75,-91.25,37,952,5991,2927,130,,,,,86.8071136474609,0,86.8071136474609,4.76493072509766,7.18115568161011,1.2467999458313,0,0,1,1,2,3,1,1,3
